
                              SATURN  

            Time        a        Q        e      peri       i        M      node     oblq       q        r        x        y        z       vx       vy       vz   
          2.2340862  9.58385 10.13061 0.057050 337.7668   2.4856 333.7190 113.6289   2.4856   9.0371   9.1002  4.26273  8.03414 -0.30931 -0.00523  0.00260  0.00016
          2.3436003  9.58400 10.13158 0.057135 337.9081   2.4856 334.9256 113.6278   2.4856   9.0364   9.0941  4.05219  8.13579 -0.30270 -0.00530  0.00248  0.00017
          2.4093087  9.58418 10.13229 0.057189 337.9856   2.4856 335.6563 113.6273   2.4856   9.0361   9.0906  3.92463  8.19430 -0.29865 -0.00533  0.00240  0.00017
          2.4750171  9.58446 10.13319 0.057252 338.0582   2.4856 336.3918 113.6267   2.4856   9.0357   9.0871  3.79617  8.25095 -0.29453 -0.00537  0.00232  0.00017
          2.5407255  9.58481 10.13422 0.057321 338.1310   2.4857 337.1272 113.6262   2.4857   9.0354   9.0838  3.66684  8.30571 -0.29033 -0.00541  0.00224  0.00018
          2.6502396  9.58528 10.13571 0.057425 338.2639   2.4857 338.3412 113.6261   2.4857   9.0348   9.0784  3.44943  8.39275 -0.28320 -0.00546  0.00211  0.00018
          2.7159480  9.58546 10.13640 0.057477 338.3467   2.4857 339.0662 113.6261   2.4857   9.0345   9.0753  3.31792  8.44241 -0.27884 -0.00550  0.00203  0.00018
          2.7816564  9.58558 10.13696 0.057521 338.4304   2.4857 339.7900 113.6263   2.4857   9.0342   9.0723  3.18565  8.49013 -0.27441 -0.00553  0.00195  0.00019
          2.8473648  9.58562 10.13733 0.057556 338.5150   2.4856 340.5124 113.6266   2.4856   9.0339   9.0694  3.05265  8.53591 -0.26991 -0.00556  0.00187  0.00019
          2.9130732  9.58562 10.13759 0.057583 338.5950   2.4856 341.2387 113.6267   2.4856   9.0336   9.0665  2.91895  8.57972 -0.26536 -0.00559  0.00178  0.00019
          3.0225873  9.58570 10.13815 0.057633 338.7188   2.4857 342.4585 113.6265   2.4857   9.0332   9.0621  2.69463  8.64835 -0.25763 -0.00563  0.00165  0.00020
          3.0882957  9.58576 10.13850 0.057662 338.7931   2.4857 343.1902 113.6264   2.4857   9.0330   9.0595  2.55921  8.68688 -0.25291 -0.00566  0.00156  0.00020
